winery-toggle,winery-toggle href,Description,Images,Details,Address
Claremont Inn & Winery,https://coloradowine.com/winery/claremont-inn-winery/,"After 17 years of hosting guests for delightful Bed & Breakfast stays, delicious dinners and special events we launched our Small Batch Winery in the Fall of 2012. At The Claremont Inn & Winery we have selected some of the best grape juice from the world’s finest vineyards to make our wines. All wines are crafted and bottled in small batches right here in our own production facility. Each batch is approximately 29 bottles and we have wines for every taste. The offerings include traditional varietal red and white wines, sweeter fruit wines featuring reds, whites and blushes and dessert wines including ports and ice wines. We specialize in delivering a unique experience to our guests at the Inn. Whether you desire a romantic getAway, take in one of our Cooking Classes, act up in one of our Murder Mystery Parties, take our Escape Room Challenge, enjoy a instructor lead Painting Parties or just enjoy the grounds (in the summer of 2017 we built a Straw Bale Garden that you have to see to believe). Did we mention, we do Weddings here at the Inn ! Each Week we give away a wine tasting and dinner for 2. Click here to enter the contest. Take I70 to exit 419. You can see the Inn from the Highway to the North traveling on I 70 east bound. We are 30 miles from the Kansas state line.",https://coloradowine.com/wp-content/uploads/2016/03/claremont-winery-logo.jpg," <h3>Claremont Inn &amp; Winery</h3> <hr class=""dotted""> <p> 800 Claremont Dr, Stratton, CO 80836<br> <strong> 7193485125<br> <a href=""mailto:claremontinnco@aol.com"" target=""_blank"">claremontinnco@aol.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>The Tasting Room is open 11 to 5 daily. Groups of more than 4 should call ahead for times. We do group tastings and we have food options with our tasting with reservations only. </p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.claremontinn.com/"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/800+Claremont+Dr%2C+Stratton%2C+CO+80836
Colorado Cellars Winery/Rocky Mtn Vineyards/Colorado Mountain Vineyards,https://coloradowine.com/winery/colorado-cellars-winery-rocky-mountain-vineyards-colorado-mountain-vineyards/,"We are Colorado’s Original Winery – the first to make and sell wine from Colorado-grown grapes and fruit under our Colorado Mountain Vineyards label. Since 1978 we have pioneered every type of wine made in Colorado today – varietal grape wines, fruit wines, port wines, champagne and meads – and the introduction of our humorous label wine, Roadkill Red, in 1990 created a whole new category of wines nationwide…Sweet Red ‘Fine Wines’. Current sole owners Richard and Padte Turley bought out the last of the other 12 original investors in 1989, and with Colorado’s first female Winemaker Padte Turley at the helm we have won over a thousand winemaking awards since then. The Winery has grown tremendously, building from the minimal original equipment purchased from the defunct Ivancie garage winery to a world class facility which was recently picked by Wine Business Monthly as one of “America’s Largest Independent Wineries”. The Winery’s location overlooking the entire Grand Valley includes the last of the original ‘Colorado State University Four Corners Project’s’ test plot vineyards – producing Merlot and Cabernet Sauvignon grapes for the Winery’s use to this day! As a true family run business we are unique amongst Colorado wineries in that we are – and have always been – exclusively in the wine business…no second jobs, second incomes, or second careers! Winemaking here is truly a way of life! I-70 Exit 37, Hwy 141 south to C 1/2 Rd, east 5.6 miles.",https://coloradowine.com/wp-content/uploads/2015/05/Colorado-Cellars.png," <h3>Colorado Cellars Winery/Rocky Mtn Vineyards/Colorado Mountain Vineyards</h3> <hr class=""dotted""> <p> 3553 E Road <br> Palisade, CO 81526<br> <strong> Richard and Padte Turley<br> 800-848-2812<br> 970-464-0574 <small>(fax)</small><br> <a href=""mailto:info@coloradocellars.com"" target=""_blank"">info@coloradocellars.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Summer: Mon-Fri 9-5 and Sat-Sun 10-5; Winter: Mon-Fri 9-4 and Sat 11-4</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.coloradocellars.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/3553+E+Road++Palisade%2C+CO+81526
Colorado Honey Wine,https://coloradowine.com/winery/colorado-honey-wine/,"Producers of all natural honey wines, with a focus on sustainable farming and natural resources. Especially our bees.",https://coloradowine.com/wp-content/uploads/2015/09/CO-Honey-Wine.jpg," <h3>Colorado Honey Wine</h3> <hr class=""dotted""> <p> Parker, CO<br> <strong> 303.766.7531<br> <a href=""mailto:criscfer@msn.com"" target=""_blank"">criscfer@msn.com</a><br> </strong> </p> <hr class=""dotted""> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://coloradohoneywines.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/1088+PINEWICKET+WAY%2C+Parker%2C+CO
Colorado Sake Company,https://coloradowine.com/winery/colorado-sake-company/,"After what feels like years of long days: endless test batches and a limitless determination to perfect our recipe, we are so excited to announce we are finally here! The Sake we dreamed of bringing to Colorado is clean, unpasteurized and undiluted – and we’ve made it happen! Our entire team has been in the hospitality industry for a long (long!) time which has gifted us a pretty good insight into what this community is in the market for…. Fresh. Craft. Local. Delicious. Come and get it 🙂 Kanpai!",https://coloradowine.com/wp-content/uploads/2019/04/Colorado-Sake-CO.jpg," <h3>Colorado Sake Company</h3> <hr class=""dotted""> <p> 3559 Larimer Street<br> Denver, CO, 80205<br> <strong> 720-449-6963<br> <a href=""mailto:info@coloradosakeco.com"" target=""_blank"">info@coloradosakeco.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Thursday - 4pm to Close Friday - 4pm to Close Saturday - 4pm to Close</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""https://www.coloradosakeco.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/3559+Larimer+Street+Denver%2C+CO%2C+80205
Colterris Winery,https://coloradowine.com/winery/colterris-winery/,"The name COLTERRIS was derived by combining a three letter abbreviation of Colorado “Col” with the Latin word “terris” meaning from the land. “COLTERRIS – from the Colorado land”. All COLTERRIS Wines are produced from 100% Colorado grapes grown in our estate vineyards in the Grand Valley AVA. COLTERRIS is located in Palisade on Colorado’s beautiful and picturesque Western Slope. The Grand Valley AVA produces world class wine grapes high in quality and distinction. The favorable eco-climate of Theresa’s Vineyard, volcanic soils of the Grand Mesa and the waters of the mighty Colorado River contribute to the rich color, intense fruit flavors and characteristics that make Colterris wines unique. We invite you to visit us year-round at our Colterris Winery Tasting Room and seasonally at our Colterris at the Overlook Tasting Room. Also, open June-August, our High Country Orchards Country Store is the best place to treat yourself to fresh tree-ripened Palisade Peaches! Directions from I-70 Palisade are: take Exit 42 south to W 1st St. Turn left on W 1st St and then turn right on Main St. Go one block and turn left on 3rd St. Continue on that road as it changes to North River Road. Directions from Clifton are: take Highway 141 (32 Rd.) south 3 miles until you cross the Colorado River. Take the next left on C 1/2 Rd. and follow the switch backs to 35 1/2 Rd. & E 1/2 Rd. (approx. 5 miles)",https://coloradowine.com/wp-content/uploads/2015/05/Colterris-Winery.jpg," <h3>Colterris Winery</h3> <hr class=""dotted""> <p> 3907 North River Road<br> Palisade, CO 81526<br> <strong> Theresa High<br> 970.464.1150<br> <a href=""mailto:theresa@colterris.com"" target=""_blank"">theresa@colterris.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Open Year-Round: 10am-5pm daily</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.colterris.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/3907+North+River+Road%2C+Palisade%2C+CO+81526
Colterris at the Overlook Tasting Room,https://coloradowine.com/winery/colterris-wines/,"The name COLTERRIS was derived by combining a three letter abbreviation of Colorado “Col” with the Latin word “terris” meaning from the land. “COLTERRIS – from the Colorado land”. All COLTERRIS Wines are produced from 100% Colorado grapes grown in our estate vineyards in the Grand Valley AVA. COLTERRIS is located in Palisade on Colorado’s beautiful and picturesque Western Slope. The Grand Valley AVA produces world class wine grapes high in quality and distinction. The favorable eco-climate of Theresa’s Vineyard, volcanic soils of the Grand Mesa and the waters of the mighty Colorado River contribute to the rich color, intense fruit flavors and characteristics that make Colterris wines unique. We invite you to visit us year-round at our Colterris Winery Tasting Room and seasonally at our Colterris at the Overlook Tasting Room. Also, open June-August, our High Country Orchards Country Store is the best place to treat yourself to fresh tree-ripened Palisade Peaches! Directions from I-70 Palisade are: take Exit 42 south to Highway 6. Turn left on Highway 6 and go east over the Colorado River to 38 Rd. Turn right on 38 Rd. and go south following the switch backs to E 1/2 Rd. & 35 1/2 Rd. (approx.4 miles) Directions from Clifton are: take Highway 141 (32 Rd.) south 3 miles until you cross the Colorado River. Take the next left on C 1/2 Rd. and follow the switch backs to 35 1/2 Rd. & E 1/2 Rd. (approx. 5 miles)",https://coloradowine.com/wp-content/uploads/2015/05/Colterris-Winery.jpg," <h3>Colterris at the Overlook Tasting Room</h3> <hr class=""dotted""> <p> 3548 E 1/2 Road<br> Palisade, CO 81526<br> <strong> Theresa High<br> 970.464.1150<br> <a href=""mailto:theresa@colterris.com"" target=""_blank"">theresa@colterris.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>10:00 AM to 5:00 PM Daily June - Sept By Appointment Oct - May</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.colterris.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/3548+E+1%2F2+Road%2C+Palisade%2C+CO+81526
Continental Divide Winery – Breckenridge Tasting Room,https://coloradowine.com/winery/continental-divide-winery/,"Continental Divide is a new premium winery located in Breckenridge and Alma, Colorado. We are proud to be the highest winery in America producing our wines at elevation 10,361. Our Breckenridge tasting room is slated to open starting in November 2016. Our tasting room will be a place where guests can enjoy both California and Colorado wines and participate in captivating and entertaining wine education programs. The atmosphere will be casual and friendly with an industrial edge and a low key educational component. Continental Divide will proudly showcase the best wines created from both Colorado and California grapes, including our own estate vineyard. We are the only Colorado winery with our own California vineyard to assure a reliable supply of the freshest and highest quality grapes. Although new to Colorado, Continental Divide has deep roots in the wine industry. Founded by California wine veterans Jeffrey & Ana Maltzman and Colorado wine enthusiasts and grape growers Kent Hutchison and Angela Bryan, Continental Divide will bring the first premium commercial winery to the Front Range. Jeffrey Maltzman will oversee Continental Divide’s production of wines crafted from California grapes. Jeffrey has won significant acclaim for his winemaking skills and his 2012 Napa Valley Captain’s Private Reserve Cabernet Sauvignon was declared the best 2012 Cabernet Sauvignon in the world by Sunset Magazine. Kent Hutchison and Angela Bryan, along with renowned Colorado consulting winemaker Jay Christianson will oversee production of Continental Divide’s Colorado wines. Jay Christianson formerly was senior winemaker at Colorado’s award winning Canyon Wind Cellars.",https://coloradowine.com/wp-content/uploads/2016/10/BreckWinery.jpg," <h3>Continental Divide Winery – Breckenridge Tasting Room</h3> <hr class=""dotted""> <p> 505 South Main Street<br> Breckenridge, CO 80424<br> <strong> Kent Hutchison<br> <a href=""mailto:kent@breckwinery.com"" target=""_blank"">kent@breckwinery.com</a><br> </strong> </p> <hr class=""dotted""> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.breckwinery.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/505+South+Main+Street+Breckenridge%2C+CO++80424
Continental Divide Winery – Fairplay Tasting Room and Winery,https://coloradowine.com/winery/continental-divide-winery-fairplay-tasting-room-winery/,"Continental Divide is a new premium winery located in Breckenridge and Alma, Colorado. We are proud to be the highest winery in America producing our wines at elevation 10,361. Our Breckenridge tasting room is slated to open starting in November 2016. Our tasting room will be a place where guests can enjoy both California and Colorado wines and participate in captivating and entertaining wine education programs. The atmosphere will be casual and friendly with an industrial edge and a low key educational component. Continental Divide will proudly showcase the best wines created from both Colorado and California grapes, including our own estate vineyard. We are the only Colorado winery with our own California vineyard to assure a reliable supply of the freshest and highest quality grapes. Although new to Colorado, Continental Divide has deep roots in the wine industry. Founded by California wine veterans Jeffrey & Ana Maltzman and Colorado wine enthusiasts and grape growers Kent Hutchison and Angela Bryan, Continental Divide will bring the first premium commercial winery to the Front Range. Jeffrey Maltzman will oversee Continental Divide’s production of wines crafted from California grapes. Jeffrey has won significant acclaim for his winemaking skills and his 2012 Napa Valley Captain’s Private Reserve Cabernet Sauvignon was declared the best 2012 Cabernet Sauvignon in the world by Sunset Magazine. Kent Hutchison and Angela Bryan, along with renowned Colorado consulting winemaker Jay Christianson will oversee production of Continental Divide’s Colorado wines. Jay Christianson formerly was senior winemaker at Colorado’s award winning Canyon Wind Cellars.",https://coloradowine.com/wp-content/uploads/2016/10/BreckWinery.jpg," <h3>Continental Divide Winery – Fairplay Tasting Room and Winery</h3> <hr class=""dotted""> <p> Rocky Top Plaza<br> 331 Hwy 285<br> Fairplay, CO 80440<br> <strong> (970) 771-3443<br> <a href=""mailto:info@breckwinery.com"" target=""_blank"">info@breckwinery.com</a><br> </strong> </p> <hr class=""dotted""> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.breckwinery.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p>  <h5>Other Locations:</h5> <p> Continental Divide Winery – Breckenridge Tasting Room<br> 505 South Main Street<br> Breckenridge, CO 80424 </p> <p><a class=""btn btn-primary btn-brown btn-transparent"" href=""https://coloradowine.com/winery/continental-divide-winery/"">View Winery</a></p> ",https://www.google.com/maps/place/331+Hwy+285+Fairplay%2C+CO++80440
Cottonwood Cellars/The Olathe Winery,https://coloradowine.com/winery/cottonwood-cellars-the-olathe-winery/,"Cottonwood Cellars is a traditional European-style family winery, using equipment from Italy. We produce 3,500 cases a year. Our “reserve” red wines are aged an average of two years in American and French oak barrels, and we use new barrels (heavy, medium plus, and medium toast) every year as well as older barrels to avoid over-oaking. Our other red wines are aged an average of one year in barrel. All reds are aged an additional year in the bottle. Our Chardonnay is aged “sur lee,” where the lees remain in the barrel for at least nine months to produce a creamy texture. It is aged in new oak barrels and bottle aged one year. The winery is located on a 52-acre working farm on California Mesa, known for its mild climate and ability to grow fruit. It’s surrounded by magnificent views of the San Juan Mountains, the Grand Mesa and the Uncompaghre Plateau. Please visit and bring a lunch to eat under the giant cottonwoods. Our lovely yard can host up to 150 people for family reunions, weddings and other events. A 2500 sq. ft. building which houses the tasting room with piano, barrels, and case goods is also available. Directions: Hwy 50 to Olathe, W 3.4 mi. on Hwy 348. Visit website for wines, Wine Club, dinners, events, etc. Specialty: Full bodied “Reserve” Reds, aged in French & American oak barrels 1 to 2 yrs., then bottle aged over 1 yr. Hwy 50 to Olathe, west 3.4 miles on Hwy 348.",https://coloradowine.com/wp-content/uploads/COTTONWOOD.jpg," <h3>Cottonwood Cellars/The Olathe Winery</h3> <hr class=""dotted""> <p> 5482 Hwy 348<br> Box 940 <br> Olathe, CO 81425-0940<br> <strong> Diane Read<br> 970-323-6224<br> Call first. <small>(fax)</small><br> <a href=""mailto:cottonwoodwines@cs.com"" target=""_blank"">cottonwoodwines@cs.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Call Winery. Summer: Wed-Sat, 11-5:30; Open Holiday Mondays; By Appointment only Jan 2nd thru March 31; Apr 1 to Memorial Weekend: Fri &amp; Sat. Memorial Weekend to October: Wed-Sat, 11-5:30.</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.cottonwoodcellars.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/5482+Hwy+348%2C++Olathe%2C+CO+81425-0940
Creekside Cellars,https://coloradowine.com/winery/creekside-cellars/,"Creekside Cellars is located downtown in the beautiful mountain community of Evergreen. In addition to being a Colorado Winery, we offer a Cafe serving continental cuisine, with an outdoor deck overlooking Bear Creek. We specialize in offering the relationship of good wine served with good food among family and friends. When you enter our Cafe, you immediately are tantalized by the smell of freshly baked Foccacia & Ciabatta- some of our customers tell us they come to Creekside “Just for the smell of it.” Enjoy international award winning white and red wines while dining. A mere 30 minutes west of Denver, Creekside Cellars provides a special place to celebrate a lunch, or linger over one of our antipasta platters accompanied by a glass of wine to enjoy with your special friends and family. Let us help you with your special event such as meetings, rehearsal dinner or other private event. West from Denver, take I-70 to Evergreen Parkway (Hwy 74) south 8 miles to downtown Evergreen. We are located on the Bear Creek side of Hwy 74. East from the mountains take the El Rancho exit. Head south on Evergreen Parkway (Hwy 74) 8 miles to downtown Evergreen.",https://coloradowine.com/wp-content/uploads/2015/05/creekside.jpg," <h3>Creekside Cellars</h3> <hr class=""dotted""> <p> 28036 Hwy 74, Evergreen, CO 80439<br> <strong> 303-674-5460<br> 303-674-0222 <small>(fax)</small><br> <a href=""mailto:info@creeksidecellars.net"" target=""_blank"">info@creeksidecellars.net</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Open daily 11:00am - 5:00pm. Full menu 11:00am - 4:00pm, anitpasto menu 4:00pm - 5:00pm </p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.creeksidecellars.net"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/28036+Hwy+74%2C+Evergreen%2C+CO+80439
D’Vine Wine (Manitou Springs),https://coloradowine.com/winery/d-vine-wine-manitou-springs/,"“Wine with an Altitude!” We import the highest quality grapes and then handcraft, blend and ferment all of our wines right in front of you. On premises winery making 20 different kinds of wine providing our guests with a unique experience of wine tasting, personalized labels for bottles, and wine making for individuals and corporate parties. From US I-25, exit 141, turn left onto US 24 (Cimarron St.), take Manitou Springs exit Business 24 which is also Manitou Avenue. Located in the Historical Spa Building at 934 Manitou Ave.",https://coloradowine.com/wp-content/uploads/DIVINE-WINE.jpg," <h3>D’Vine Wine (Manitou Springs)</h3> <hr class=""dotted""> <p> 934 Manitou Avenue<br> Suite 108<br> Manitou Springs, CO 80829<br> <strong> Tracy Carole<br> 719-685-1030<br> 719-685-1871 <small>(fax)</small><br> <a href=""mailto:winery@winerymsprings.com"" target=""_blank"">winery@winerymsprings.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>12:00 - 8:00pm</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.winerymsprings.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p>  <h5>Other Locations:</h5> <p> Wild Women Winery<br> 1660 Champa <br> Denver, CO 80202 </p> <p><a class=""btn btn-primary btn-brown btn-transparent"" href=""https://coloradowine.com/winery/wild-women-winery/"">View Winery</a></p> ",https://www.google.com/maps/place/934+Manitou+Avenue+Suite+108%2C+Manitou+Springs%2C+CO+80829
DeBeque Canyon Winery,https://coloradowine.com/winery/debeque-canyon-winery/,"DeBeque Canyon is a name that conveys western hospitality, beautiful vistas and good wine. The winery was founded in August, 1997 by grape grower Bennett Price and his wife, Davy, following years of designing and establishing vineyards in Colorado for other wineries and growers. The winery is a natural extension of the Price’s long time involvement in the industry, and especially their interest in wine making. DeBeque Canyon Winery is named for the lengthy canyon through which the Colorado River flows from the mountains into the broad Grand Valley of western Colorado. A growing season of warm days and cool nights help create the intensity of flavors which delight residents and the many visitors who travel through this green oasis in the west. Join us for a sample of old-fashioned western hospitality and excellent wines. Located on the main corridor into Palisade. The winery is well known for full-flavored, oak-aged wines, especially Bordeaux and Rhone varietals as well as premium white wines and rich blended Ports. I-70, exit 42. South on Elberta to Hwy 6th. Turn left. Winery on right hand side appx 1/3 mile. From I-70, exit 44 Westbound, follow Hwy 6 into Palisade, cross Colorado River bridge. Memorial Park will be on right hand side. Continue two blocks and turn left into Winery driveway. From Clifton, take Hwy 6 East into Palisade appx 5.2 miles, Winery is on the right hand side 1/3 mile from Elberta St (where Colorado National Bank is).",https://coloradowine.com/wp-content/uploads/DEBEQUE-CANYON.jpg," <h3>DeBeque Canyon Winery</h3> <hr class=""dotted""> <p> 351 W. 8th St. (Hwy 6)<br> Palisade, CO 81526<br> <strong> Theresa Harris, Bennett Price<br> 970-464-0550<br> 970-464-0444 <small>(fax)</small><br> <a href=""mailto:debequecanyonwines@bresnan.net"" target=""_blank"">debequecanyonwines@bresnan.net</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Summer: Open Daily 11-6 Mon-Fri, 10-6 Sat, 10-5 Sundays; Winter: Open 12-5 Sun-Fri, 10-5 Sat. Closed Thanksgiving, Christmas, New Years Day, and Easter Sunday.</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.debequecanyonwinery.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/144+Kluge+Ave+Bldg+3%2C+Palisade%2C+CO+81526
Decadent Saint,https://coloradowine.com/winery/decadent-saint/,0,https://coloradowine.com/wp-content/uploads/2016/12/Decadent-Saint.jpg," <h3>Decadent Saint</h3> <hr class=""dotted""> <p> 1849 Cherry Street, Unit 3<br> Louisville, Colorado 80027<br> <strong> 303-963-6342<br> </strong> </p> <hr class=""dotted""> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://DECADENTSAINT.COM"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/1849+Cherry+Street%2C+Unit+3+Louisville%2C+Colorado+80027
Deep Roots Winery & Bistro,https://coloradowine.com/winery/deeproots/,"Family-owned and run Deep Roots Winery and Bistro brings food and wine that is familiar yet has our own unique flare. All 19 wines are made in house by our vintners, Steve & Teara Walters. Come for the endless selection of wine and stay for long conversations with good friends over delicious small plates. Many Gluten Free, Vegetarian & Vegan options are available.",https://coloradowine.com/wp-content/uploads/2019/03/18451508_269750273486606_6708056236941860129_o.png," <h3>Deep Roots Winery &amp; Bistro</h3> <hr class=""dotted""> <p> 1516 Wazee St.<br> Ste. A<br> Denver, CO 80202<br> <strong> (720) 328-4786<br> <a href=""mailto:info@deeprootswines.com"" target=""_blank"">info@deeprootswines.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Tuesday &amp; Wednesday: 3 pm-9 pm Thursday &amp; Friday: 3 pm - 10 pm Saturday: 1 pm - 10 pm </p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://deeprootswines.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/1516+Wazee+St.+Ste.+A%2C+Denver%2C+CO+80202
Desert Sun Vineyards,https://coloradowine.com/winery/desert-sun-vineyards/,"Take Hwy 141 (aka 32 Road) south to B 1/2 Road, turn left, go to 3230 B 1/2 Road, turn left into driveway",https://coloradowine.com/wp-content/uploads/DESERT-SUN.jpg," <h3>Desert Sun Vineyards</h3> <hr class=""dotted""> <p> 3230 B 1/2 Road <br> Grand Junction, CO 81503<br> <strong> Doug Hovde<br> 970-434-9851<br> <a href=""mailto:dkhovde@gmail.com"" target=""_blank"">dkhovde@gmail.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>11 to 5 Friday, Saturday and Sunday<br> May to November</p> ",https://www.google.com/maps/place/3230+B+1%2F2+Road%2C+Grand+Junction%2C+CO+81503
Dragon Meadery,https://coloradowine.com/winery/dragon-meadery/,0,https://coloradowine.com/wp-content/uploads/2015/05/dragon-meadery.jpg," <h3>Dragon Meadery</h3> <hr class=""dotted""> <p> Aurora, CO<br> <strong> <a href=""mailto:dragonmeadery@comcast.net"" target=""_blank"">dragonmeadery@comcast.net</a><br> </strong> </p> <hr class=""dotted""> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.dragonmeadery.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/Aurora%2C+CO
Drekar Meadery,https://coloradowine.com/winery/drekar-meadery/,Old-World Honey Wine In The Heart Of Colorado Springs,https://coloradowine.com/wp-content/uploads/2020/01/DrekarMeadery.png," <h3>Drekar Meadery</h3> <hr class=""dotted""> <p> 908 N Circle Dr, Ste E<br> Colorado Springs, Colorado 80909<br> <strong> (719) 434-8402<br> <a href=""mailto:tim@drekarmeadery.com"" target=""_blank"">tim@drekarmeadery.com</a><br> </strong> </p> <hr class=""dotted""> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""https://drekarmeadery.com/"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/908+N+Circle+Dr%2C+Ste+E+Colorado+Springs%2C+Colorado+80909
Endless Endeavor Winery,https://coloradowine.com/winery/endless-endeavor-winery/,"Our Story Cyndi and Brian moved to Paonia in June 2015, escaping the rat race and finding the “community” they sought in the North Fork Valley. They immediately commenced their “endless endeavor” on their 8 acre farmette, pursuing their gardening, grape-growing, and winemaking dreams. Our Land On Pitkin Mesa one mile from downtown Paonia, in the North Fork Valley of the Gunnison River amidst the West Elk Mountains. The 360 degree view encompasses the Valley, Mt. Lamborn and Land’s End, Gunnison Mountain, The Raggeds, and nearby Black Canyon and Grand Mesa. Our south facing vineyard and hay pasture features fertile clay loam, kept lush in the high desert by Fire Mountain Canal irrigation. Our Wines The vineyard is young, with the first significant harvest planned for fall 2019.. The latest varieties of cold hardy North American hybrid grapes (Petite Pearl, Traminette, Crimson Pearl, Verona, and Itasca) promise to offer wines that challenge the quality of old world varieties. We also offer vinifera wines produced from West Elks and Grand Valley AVA grapes, including Pinot Grigio, Primitivo, Syrah, Chardonnay, and Merlot",https://coloradowine.com/wp-content/uploads/2019/04/endlessendeavor.jpg," <h3>Endless Endeavor Winery</h3> <hr class=""dotted""> <p> 15566 Fire Mountain Road, Paonia, Colorado 81428<br> <strong> 970-527-4769<br> <a href=""mailto:wegs1975@aol.com"" target=""_blank"">wegs1975@aol.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Monday, Tuesday: Closed Wednesday - Sunday, Holidays: 11am to 6pm Memorial Day to October 31</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""https://endlessendeavorwinery.com/"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/15566+Fire+Mountain+Road%2C+Paonia%2C+Colorado+81428
